ZCTA,population,land_sqmi,density_sqmi
98403,8586,1.097,7826.8
16361,38,2.18,17.43
13699,2123,,
06704,30666,7.921,3871.48
77535,38037,313.92,121.17
91790,44791,5.773,7758.7
18974,42984,19.075,2253.42
27207,4129,84.989,48.58
48611,6013,38.394,156.61
07070,18748,2.812,6667.14
75156,15742,31.305,502.86
50604,1713,71.202,24.06
36003,2555,93.414,27.35
60969,66,0.253,260.87
54645,114,0.486,234.57
53559,5981,63.65,93.97
04097,4173,21.23,196.56
97824,1923,218.494,8.8
83539,2324,2810.594,0.83
95118,31831,4.079,7803.63
91345,18282,3.241,5640.85
97479,10479,63.611,164.74
95003,24708,35.11,703.73
25252,1166,58.759,19.84
52752,374,0.381,981.63
85297,35535,10.554,3366.97
20551,0,0.009,0
35549,3018,115.748,26.07
04765,1452,571.448,2.54
35091,3632,6.561,553.57
28729,3386,4.377,773.59
78261,27060,29.87,905.93
62856,327,0.93,351.61
99021,9226,84.177,109.6
12042,286,4.344,65.84
95494,169,102.943,1.64
71450,828,63.999,12.94
72370,7282,113.305,64.27
53716,18866,6.567,2872.85
00952,8488,1.236,6867.31
57270,740,167.393,4.42
04285,513,64.621,7.94
67761,221,406.107,0.54
05030,92,,
01379,742,30.203,24.57
32811,40560,8.252,4915.17
27301,10897,33.351,326.74
48150,26749,11.986,2231.69
15227,29057,6.175,4705.59
43140,24162,222.099,108.79
71862,699,64.795,10.79
84626,617,88.304,6.99
19119,28566,3.239,8819.39
52065,729,50.684,14.38
89169,21203,3.393,6249.04
02916,8725,2.563,3404.21
39862,789,147.743,5.34
62615,5075,50.819,99.86
91905,1466,65.845,22.26
48215,10238,4.009,2553.75
93625,8889,24.72,359.59
62704,39597,12.071,3280.34
13696,188,1.862,100.97
47471,3116,68.618,45.41
56560,44156,158.278,278.98
58262,129,17.878,7.22
60602,1127,0.087,12954.02
24915,651,50.227,12.96
11220,90792,1.745,52029.8
17311,152,0.055,2763.64
00907,15911,1.204,13215.12
37919,31401,19.067,1646.88
80045,1615,0.673,2399.7
68018,620,43.733,14.18
60964,4819,74.987,64.26
32792,52794,12.269,4303.04
53554,972,46.758,20.79
06517,14867,5.101,2914.53
78063,10594,121.575,87.14
97476,261,45.353,5.75
84534,2410,436.09,5.53
25251,564,14.847,37.99
36340,5340,47.463,112.51
37757,10515,28.175,373.2
85283,46789,8.8,5316.93
17938,2454,39.612,61.95
04768,376,209.169,1.8
71601,13981,109.728,127.42
16201,16734,114.695,145.9
11379,37378,2.075,18013.49
49623,1030,57.33,17.97
59713,191,164.474,1.16
99022,9398,68.962,136.28
34637,11398,14.041,811.77
72041,1228,96.576,12.72
14220,23786,3.81,6243.04
54520,3866,142.972,27.04
45696,951,36.012,26.41
50449,816,36.676,22.25
00951,399,0.415,961.45
04286,0,0.056,0
37650,13109,99.038,132.36
28466,8746,189.344,46.19
83340,5379,555.735,9.68
27302,34222,116.779,293.05
19073,21587,20.7,1042.85
15233,2918,1.246,2341.89
32530,31,0.049,632.65
76848,53,60.742,0.87
28759,7564,23.227,325.66
01349,753,7.689,97.93
02138,38077,2.741,13891.65
39861,927,53.322,17.38
90073,1053,0.339,3106.19
48216,5681,2.21,2570.59
88422,154,241.26,0.64
62707,8168,42.915,190.33
85940,1278,82.11,15.56
19002,31681,20.776,1524.88
05761,1019,38.043,26.79
53223,29287,10.18,2876.92
98355,699,189.641,3.69
56434,178,14.943,11.91
60601,16292,0.361,45130.19
45658,2654,97.155,27.32
21635,2200,30.752,71.54
86442,34327,38.063,901.85
08890,38,0.176,215.91
11374,46128,0.943,48916.22
19311,12262,12.592,973.79
37914,20917,39.79,525.68
62666,483,30.146,16.02
82701,5411,1974.87,2.74
35233,3236,1.68,1926.19
61363,284,0.515,551.46
87520,1088,259.27,4.2
44141,13954,23.689,589.05
51637,214,1.619,132.18
80532,162,25.92,6.25
78725,10810,17.649,612.5
63348,10207,53.542,190.64
25245,626,29.503,21.22
86331,329,43.507,7.56
71962,825,165.476,4.99
57371,191,197.912,0.97
94553,48600,48.574,1000.54
43609,20495,5.113,4008.41
75901,28602,161.483,177.12
74756,752,47.881,15.71
95204,31028,5.101,6082.73
62858,3385,154.107,21.97
77304,42277,37.915,1115.05
52342,2898,89.783,32.28
48091,30207,7.988,3781.55
15846,3361,92.726,36.25
49705,879,75.83,11.59
05149,2171,43.813,49.55
29432,2422,117.097,20.68
44504,5185,1.247,4157.98
28465,8689,11.204,775.53
81426,144,16.92,8.51
45062,667,0.323,2065.02
62965,54,0.639,84.51
76845,172,111.968,1.54
12859,1629,22.017,73.99
68761,416,38.947,10.68
24729,57,4.856,11.74
02135,43683,2.634,16584.28
77351,35828,671.394,53.36
47631,2085,60.376,34.53
05355,868,27.389,31.69
19001,17601,3.46,5086.99
49271,2354,55.12,42.71
70039,2248,12.115,185.56
05766,508,45.267,11.22
64136,1544,4.734,326.15
02826,615,2.498,246.2
34142,33270,589.12,56.47
11362,18156,2.529,7179.12
93226,64,93.613,0.68
50133,589,75.665,7.78
67013,2671,78.665,33.95
62665,1264,43.43,29.1
50435,764,40.645,18.8
47917,306,39.515,7.74
84036,8781,317.98,27.61
22213,4063,0.58,7005.17
61377,1458,54.609,26.7
66762,24814,133.99,185.19
53543,1787,79.507,22.48
86004,36893,762.68,48.37
62903,2533,19.822,127.79
07739,6096,2.701,2256.94
26437,476,32.24,14.76
78728,26776,8.11,3301.6
19465,18309,35.811,511.27
95008,48415,6.474,7478.38
95960,568,48.288,11.76
27841,49,0.266,184.21
46103,371,0.038,9763.16
54889,2889,70.016,41.26
78934,6833,191.878,35.61
48762,1014,45.026,22.52
35573,14,,
43604,9708,2.821,3441.33
46770,2604,52.811,49.31
72847,3256,43.274,75.24
97056,12794,97.808,130.81
95209,46567,8.382,5555.6
14812,2961,77.543,38.19
03801,23231,23.773,977.2
52341,1372,13.103,104.71
55783,2487,105.929,23.48
49706,4712,62.494,75.4
05146,663,44.202,15
72167,1567,44.814,34.97
29431,7376,78.726,93.69
17776,158,87.566,1.8
89437,0,,
28468,4844,17.695,273.75
75973,2564,179.145,14.31
45065,6938,2.634,2634.02
62966,13995,113.2,123.63
06340,29833,22.896,1302.98
93581,3447,,
98624,1645,33.882,48.55
12854,98,,
49777,1933,63.673,30.36
92347,630,146.958,4.29
77597,507,21.769,23.29
02132,27069,4.559,5937.49
72135,3442,70.974,48.5
52146,815,78.117,10.43
22003,58154,12.446,4672.51
40228,18491,7.568,2443.31
67644,212,79.162,2.68
46218,28560,9.416,3033.14
63622,782,44.799,17.46
84604,43749,125.242,349.32
80133,2480,30.798,80.52
36769,2034,146.517,13.88
30039,51742,25.051,2065.47
21622,335,54.301,6.17
94947,24360,22.694,1073.41
74522,169,0.813,207.87
99675,67,,
42371,356,38.023,9.36
92281,1904,14.263,133.49
50127,0,0.011,0
74966,3540,229.558,15.42
62671,472,48.233,9.79
47918,5159,145.462,35.47
18064,27073,38.414,704.77
84039,585,107.694,5.43
97623,2954,370.01,7.98
61378,606,59.255,10.23
75756,4569,68.548,66.65
64491,1642,112.797,14.56
51639,884,72.185,12.25
54914,31448,17.805,1766.25
18431,12576,134.264,93.67
07734,13188,1.774,7434.05
26438,105,0.058,1810.34
71441,812,54.562,14.88
56725,925,291.325,3.18
19468,28050,16.389,1711.51
82941,4592,433.813,10.59
88264,10,117.708,0.08
32336,1218,181.109,6.73
95944,91,50.512,1.8
27048,8409,82.984,101.33
41189,2052,60.591,33.87
61437,504,40.245,12.52
95060,46024,67.825,678.57
84044,29488,47.6,619.5
35816,15172,5.301,2862.1
14033,1412,17.289,81.67
85121,2210,73.426,30.1
98292,26713,74.524,358.45
26444,3300,72.122,45.76
52355,282,36.75,7.67
93601,1248,44.641,27.96
15848,1081,20.198,53.52
10588,3081,1.971,1563.17
05143,4916,95.514,51.47
00956,67050,26.473,2532.77
86503,10122,832.294,12.16
04281,5268,40.593,129.78
