ZCTA,population,land_sqmi,density_sqmi
74552,918,98.909,9.28
60647,85589,4.019,21296.09
52210,975,34.907,27.93
19020,57079,17.261,3306.82
75570,11047,135.23,81.69
97304,34846,55.791,624.58
48236,31383,7.469,4201.77
15550,1677,54.247,30.91
00650,13457,30.522,440.9
65728,28,0.914,30.63
73554,3361,405.915,8.28
59538,2842,2566.839,1.11
01951,2938,13.78,213.21
28723,11427,111.9,102.12
24934,328,65.645,5
21619,5905,9.27,637
16743,3960,107.496,36.84
80652,492,187.393,2.63
51439,785,86.151,9.11
46767,8979,69.769,128.7
75161,6910,114.01,60.61
93234,6477,80.141,80.82
94502,13359,2.68,4984.7
29137,2212,85.207,25.96
81230,10956,1785.676,6.14
50590,736,78.766,9.34
66781,1155,45.748,25.25
53577,1305,45.903,28.43
58750,609,221.329,2.75
80512,1702,490.512,3.47
40160,23205,16.762,1384.38
08738,1371,0.975,1406.15
81243,137,334.373,0.41
87573,7,127.507,0.05
54868,16054,209.766,76.53
66713,5560,59.31,93.74
58523,3277,261.392,12.54
04787,454,40.242,11.28
50702,21197,9.447,2243.78
63119,34574,8.411,4110.57
03584,3439,59.061,58.23
45309,11905,66.594,178.77
69123,888,202.023,4.4
95832,12973,8.36,1551.79
95476,35139,111.999,313.74
72173,10122,95.819,105.64
74042,376,57.075,6.59
70722,4596,166.822,27.55
59411,805,238.757,3.37
63620,1142,195.727,5.83
85173,2534,37.316,67.91
32044,2394,23.309,102.71
26801,1441,73.232,19.68
15344,1614,14.324,112.68
45042,28217,49.334,571.96
55307,3236,77.709,41.64
77035,34849,5.709,6104.22
59037,2345,188.214,12.46
23505,28983,6.365,4553.5
11577,12771,3.046,4192.71
28217,31909,14.816,2153.69
43209,28431,6.239,4556.98
67672,2111,315.044,6.7
73542,4167,332.073,12.55
79377,294,26.801,10.97
61435,181,9.778,18.51
59866,1152,227.026,5.07
56763,5161,243.072,21.23
74538,3933,360.077,10.92
56585,1067,117.451,9.08
75501,34656,95.2,364.03
62711,18351,30.638,598.96
93239,1349,63.908,21.11
27813,714,1.096,651.46
66782,165,0.296,557.43
56450,969,25.652,37.77
71455,214,61.431,3.48
68523,1951,15.992,122
52307,57,0.186,306.45
62031,637,57.456,11.09
99776,173,21.011,8.23
35564,2300,67.253,34.2
77331,7348,153.108,47.99
61423,649,49.077,13.22
50314,10203,2.482,4110.8
50010,33428,59.576,561.1
62882,2101,31.591,66.51
53219,34855,4.946,7047.11
41843,271,14.948,18.13
98346,9337,27.555,338.85
23924,5709,137.419,41.54
17756,12525,112.433,111.4
55121,9329,9.032,1032.88
58341,2642,458.306,5.76
74045,273,44.809,6.09
15349,1502,38.609,38.9
45041,131,0.18,727.78
39885,25,0.297,84.18
62946,11465,139.06,82.45
82716,17091,1085.236,15.75
66520,681,104.394,6.52
85201,52484,9.52,5513.03
19403,43967,23.734,1852.49
12878,768,85.58,8.97
68742,195,38.959,5.01
22976,136,38.682,3.52
93704,29172,5.482,5321.42
62638,1326,67.64,19.6
92620,61744,7.059,8746.85
72119,0,0.303,0
52166,172,0.189,910.05
47236,298,,
67671,1369,129.153,10.6
40759,3194,47.998,66.54
36262,1908,89.523,21.31
40744,20104,105.686,190.22
58429,281,133.858,2.1
18070,286,2.384,119.97
82054,871,179.978,4.84
43103,12981,83.475,155.51
56281,742,12.319,60.23
76932,3239,969.716,3.34
98951,12935,150.413,86
84015,70730,21.156,3343.26
97531,98,2.557,38.33
61354,10366,42.411,244.42
49807,3125,209.704,14.9
30250,606,0.269,2252.79
02815,178,4.172,42.67
07718,7057,2.114,3338.22
87939,194,129.714,1.5
36258,1734,112.612,15.4
71456,796,37.111,21.45
16371,3165,30.632,103.32
56470,10859,391.082,27.77
19444,11070,4.842,2286.25
26505,37691,13.132,2870.16
15909,4850,17.27,280.83
99130,847,78.398,10.8
49841,7359,191.805,38.37
50317,36721,22.291,1647.35
62881,11218,100.425,111.71
14013,1612,40.497,39.81
45307,237,0.172,1377.91
62047,1833,36.015,50.9
46115,1512,36.965,40.9
49037,19924,24.794,803.58
23927,4715,75.593,62.37
36250,4132,17.646,234.16
72648,502,44.723,11.22
43612,28231,11.566,2440.86
60560,27798,77.699,357.77
74048,5592,208.749,26.79
94567,673,131.413,5.12
85087,9835,74.968,131.19
97220,27810,7.186,3870.03
45044,54452,37.981,1433.66
45618,0,0.023,0
98546,2288,26.48,86.4
29810,3571,121.765,29.33
95589,1467,186.609,7.86
54430,83,4.869,17.05
72013,1681,97.931,17.17
72116,21090,6.667,3163.34
52165,1125,66.421,16.94
76209,27859,6.552,4251.98
23056,192,5.962,32.2
74036,7456,123.045,60.6
71841,655,68.966,9.5
15625,80,0.586,136.52
63468,2523,140.492,17.96
75932,1339,125.398,10.68
85363,6985,1.589,4395.85
03585,2537,80.817,31.39
43324,2804,28.434,98.61
32420,2232,52.367,42.62
74455,2717,114.412,23.75
12970,1022,50.277,20.33
17853,3047,42.294,72.04
29540,3596,110.391,32.58
33315,13211,5.234,2524.07
84018,338,150.122,2.25
90015,25257,1.711,14761.54
61359,362,0.842,429.93
97102,378,6.255,60.43
72311,53,1.021,51.91
40010,660,1.832,360.26
15677,387,19.646,19.7
43510,71,,
07717,1801,0.425,4237.65
26419,673,37.407,17.99
16372,510,1.187,429.65
77034,37185,13.742,2705.94
08225,8427,6.226,1353.52
97357,206,16.372,12.58
79905,22062,6.506,3391.02
95129,40896,4.517,9053.8
96750,3137,186.616,16.81
93458,59126,27.534,2147.38
56136,1231,85.733,14.36
47356,5508,53.876,102.23
39741,1227,66.875,18.35
64728,348,76.535,4.55
29665,393,0.21,1871.43
56481,2333,147.881,15.78
46118,4340,54.549,79.56
49038,8577,37.721,227.38
20903,25540,3.602,7090.51
36913,56,9.308,6.02
10552,21499,1.659,12959.01
78569,4079,132.833,30.71
04915,9030,73.045,123.62
78827,749,101.94,7.35
55114,4655,1.301,3578.02
43611,18863,6.936,2719.58
84711,849,36.293,23.39
35677,1874,109.549,17.11
11436,21364,0.793,26940.73
62948,12728,18.802,676.95
66712,1471,21.775,67.55
15956,2464,8.068,305.4
33931,8763,10.926,802.03
61531,3018,56.321,53.59
52168,409,0.16,2556.25
75965,18350,73.792,248.67
74033,13371,11.891,1124.46
98606,9431,37.43,251.96
15628,423,2.572,164.46
63465,517,44.589,11.59
11581,22652,2.73,8297.44
12981,2233,106.005,21.07
44670,155,0.169,917.16
54170,3767,114.326,32.95
92258,508,10.573,48.05
58634,230,412.769,0.56
93637,42278,270.506,156.29
89825,1429,42.052,33.98
52134,268,29.946,8.95
21140,4231,1.352,3129.44
57440,476,142.498,3.34
26852,922,42.582,21.65
15674,223,,
55356,5924,12.469,475.1
07712,39597,11.872,3335.33
16344,470,0.893,526.32
87315,130,594.146,0.22
42215,1692,58.581,28.88
74115,23657,15.674,1509.31
48871,2233,30.284,73.74
68820,266,40.481,6.57
61020,3197,31.579,101.24
02671,932,2.012,463.22
64725,1993,58.987,33.79
29666,6751,123.399,54.71
36263,502,24.612,20.4
29081,1202,80.635,14.91
46402,5636,3.807,1480.43
78638,2064,114.548,18.02
23112,56364,32.388,1740.27
18618,3583,17.659,202.9
05648,533,8.919,59.76
21837,2975,44.414,66.98
55402,760,0.178,4269.66
58230,586,160.54,3.65
37302,5253,16.41,320.11
35643,3088,80.679,38.28
61733,944,21.512,43.88
08833,8772,33.408,262.57
60042,8630,4.523,1908.03
95116,48816,3.591,13593.98
45616,1588,82.316,19.29
98548,2336,137.565,16.98
02481,17262,5.641,3060.1
05826,715,31.303,22.84
15955,2241,25.191,88.96
01033,6088,27.815,218.87
72501,25988,303.673,85.58
91759,290,82.234,3.53
04017,568,3.574,158.93
77968,3022,178.961,16.89
55605,612,72.077,8.49
63466,0,,
80723,6761,290.306,23.29
93292,45523,108.691,418.83
63060,2183,47.683,45.78
59820,1904,398.007,4.78
43333,1013,30.397,33.33
72127,2718,52.875,51.4
33483,12595,3.881,3245.3
57018,1400,81.742,17.13
28088,2819,2.68,1051.87
49667,620,79.619,7.79
13124,95,4.685,20.28
66209,20201,6.177,3270.36
70576,1214,1.125,1079.11
40402,2500,47.31,52.84
33602,19694,2.549,7726.17
06441,5323,25.877,205.7
73145,3685,5.823,632.84
55940,2810,90.589,31.02
76882,266,139.765,1.9
59343,41,175.157,0.23
85726,0,0.047,0
41051,32192,29.106,1106.03
15716,494,0.811,609.12
65080,1459,42.098,34.66
43447,3165,16.878,187.52
07711,1820,0.802,2269.33
36030,185,68.215,2.71
76885,92,78.656,1.17
44047,8379,105.417,79.48
74116,3503,17.957,195.08
48872,6421,56.393,113.86
75569,3601,3.01,1196.35
41390,161,1.134,141.98
23002,10657,259.828,41.02
22810,505,24.976,20.22
76208,27186,27.232,998.31
30259,3988,34.827,114.51
64726,356,44.282,8.04
56324,1116,56.305,19.82
28373,2508,12.915,194.19
90623,15369,1.812,8481.79
22843,2870,113.066,25.38
30115,53299,60.781,876.9
62923,393,30.152,13.03
79920,28,0.005,5600
05046,1234,59.772,20.65
60045,20957,21.208,988.16
66088,2723,120.907,22.52
06269,6723,1.279,5256.45
58104,47481,28.658,1656.81
05829,1600,25.538,62.65
17353,2745,40.825,67.24
15958,2190,19.078,114.79
01027,17678,40.498,436.52
11970,468,0.562,832.74
99801,29796,2202.566,13.53
55606,204,131.276,1.55
61759,1263,33.974,37.18
93268,16956,41.969,404.01
45354,643,0.879,731.51
84083,1264,2092.516,0.6
12723,1854,31.662,58.56
98102,26583,1.292,20575.08
78160,4705,182.15,25.83
49664,2252,57.794,38.97
72537,564,28.622,19.71
70575,59,0.032,1843.75
12207,2097,1.057,1983.92
06442,2623,3.333,786.98
29856,3473,57.925,59.96
87064,146,152.621,0.96
31905,15892,38.546,412.29
96038,399,17.832,22.38
99578,332,0.893,371.78
75048,29600,10.49,2821.73
95977,1738,39.128,44.42
79848,804,807.456,1
05458,2187,16.379,133.52
91361,18728,33.513,558.83
44044,14422,55.271,260.93
38685,983,89.379,11
61545,814,30.49,26.7
43915,1305,53.283,24.49
44438,5045,8.434,598.17
62298,17907,144.235,124.15
38703,11243,163.345,68.83
61532,404,33.277,12.14
83544,6476,235.496,27.5
52405,25889,14.581,1775.53
75966,4773,270.855,17.62
36786,2094,137.686,15.21
78245,91388,33.231,2750.08
05361,993,30.382,32.68
24366,333,27.377,12.16
85118,13955,159.48,87.5
94509,71013,16.372,4337.47
56327,771,49.911,15.45
49033,1666,32.278,51.61
42324,1120,36.519,30.67
18616,792,55.298,14.32
48818,2541,25.265,100.57
95950,452,50.992,8.86
52568,73,,
59417,7674,1401.712,5.47
71075,5417,37.066,146.14
96065,346,84.752,4.08
26807,2361,176.014,13.41
60048,28945,27.481,1053.27
36850,2550,147.715,17.26
30710,7725,47.512,162.59
24316,48,4.053,11.84
64834,10476,31.665,330.84
45203,2530,1.255,2015.94
28511,627,8.173,76.72
56375,672,3.665,183.36
78222,25008,21.907,1141.55
17347,6186,14.024,441.1
01028,16283,12.936,1258.74
76086,22900,14.698,1558.04
19551,4578,24.904,183.83
38744,509,60.212,8.45
98012,76123,15.326,4966.92
47270,543,18.581,29.22
08023,289,1.004,287.85
97857,597,269.146,2.22
61756,2625,82.457,31.83
92284,25782,110.224,233.91
45362,1164,32.112,36.25
79607,3636,3.793,958.61
01516,9287,36.801,252.36
57016,680,33.722,20.16
24931,1221,63.426,19.25
95612,1519,55.497,27.37
18960,12198,19.26,633.33
76250,973,8.814,110.39
28086,28921,87.955,328.82
26266,433,3.996,108.36
72538,738,46.525,15.86
70578,16279,113.55,143.36
06447,6106,23.351,261.49
87733,81,409.705,0.2
80515,786,60.625,12.96
43501,761,24.162,31.5
30538,3204,25.462,125.83
98364,0,0.303,0
22181,15529,5.693,2727.74
44049,230,0.358,642.46
98134,779,3.373,230.95
62295,1310,67.992,19.27
31533,17464,66.992,260.69
45118,3789,39.302,96.41
58528,754,67.647,11.15
23004,878,39.457,22.25
83547,322,96.882,3.32
67235,15442,11.011,1402.42
61078,1411,57.517,24.53
82218,14,,
53004,3551,35.328,100.52
28438,1706,47.202,36.14
16428,12508,73.412,170.38
87056,975,488.324,2
28368,115,,
81657,4971,111.202,44.7
39336,1306,77.579,16.83
98148,10399,3.08,3376.3
74171,2204,,
13736,1887,60.686,31.09
48815,2155,27.464,78.47
58443,116,100.605,1.15
42086,4313,33.482,128.82
01776,19067,24.239,786.62
84081,52168,14.634,3564.85
70729,1201,20.461,58.7
05048,2494,27.553,90.52
15931,8852,77.551,114.14
04434,1245,24.808,50.19
26804,537,83.761,6.41
82325,793,668.253,1.19
24315,3789,182.363,20.78
77032,13536,22.17,610.55
28574,20631,128.092,161.06
16735,6465,273.848,23.61
56376,313,1.811,172.83
48023,4980,17.04,292.25
17344,3770,0.799,4718.4
15943,3747,19.235,194.8
30092,36660,10.97,3341.84
43202,20059,2.508,7998.01
73650,983,192.422,5.11
01507,13359,42.179,316.72
50666,768,53.797,14.28
99732,8,327.288,0.02
48654,2455,94.858,25.88
93266,1672,55.728,30
72687,6724,279.535,24.05
38321,2629,95.316,27.58
74848,7965,253.639,31.4
01515,2120,9.864,214.92
66760,12,0.761,15.77
46543,4467,30.173,148.05
56287,103,0.439,234.62
28083,28474,20.03,1421.57
85603,6798,224.995,30.21
24112,30862,151.694,203.45
53593,29479,71.894,410.03
19335,52524,42.496,1235.98
58301,10046,241.371,41.62
99341,685,400.358,1.71
19150,23582,1.508,15637.93
50222,314,41.835,7.51
52033,3581,97.504,36.73
96032,2629,455.518,5.77
02382,15215,6.936,2193.63
79379,680,71.935,9.45
73759,1352,380.017,3.56
75845,2287,316.754,7.22
17980,3222,39.809,80.94
03864,2047,34.305,59.67
68526,7767,11.287,688.14
44436,3121,23.17,134.7
30188,65980,43.99,1499.89
26237,556,39.226,14.17
83223,257,1.832,140.28
33705,27024,6.057,4461.61
61075,997,50.553,19.72
55753,1197,0.753,1589.64
30306,24274,4.368,5557.23
53007,2003,0.772,2594.56
68370,1953,171.269,11.4
28435,2012,95.759,21.01
79821,6550,11.402,574.46
42151,251,27.516,9.12
28365,15008,192.635,77.91
57266,628,132.33,4.75
39339,14583,381.131,38.26
38954,754,67.94,11.1
62919,775,48.804,15.88
77457,460,10.104,45.53
21822,2603,28.25,92.14
37860,3739,25.48,146.74
58346,597,206.626,2.89
65570,730,28.867,25.29
52573,155,28.425,5.45
59419,51,83.272,0.61
56461,3316,274.029,12.1
05404,8198,1.412,5805.95
66554,744,107.156,6.94
85206,36896,9.539,3867.91
08084,6965,1.562,4459.03
28578,4585,63.821,71.84
19406,29388,13.828,2125.25
05822,1999,38.597,51.79
77514,5213,218.064,23.91
46280,7657,4.265,1795.31
17349,7938,20.754,382.48
62633,609,68.903,8.84
35244,36775,21.691,1695.4
43201,33873,3.084,10983.46
26136,266,26.757,9.94
50665,2518,97.796,25.75
97884,91,79.546,1.14
44401,2565,32.162,79.75
24174,2335,34.168,68.34
25696,1382,1.968,702.24
97904,187,615.559,0.3
01518,2835,8.883,319.15
33496,24546,9.21,2665.15
58703,22604,160.543,140.8
16746,1018,41.62,24.46
56284,2099,140.54,14.94
26268,37,61.834,0.6
41260,900,2.537,354.75
75166,6679,13.178,506.83
60452,26511,9.306,2848.81
91352,46153,11.711,3941
62833,274,46.209,5.93
83333,12096,341.796,35.39
12915,61,,
67530,17979,245.454,73.25
39090,11811,265.293,44.52
15750,308,0.485,635.05
96064,4696,479.18,9.8
73754,1109,36.518,30.37
53821,7711,103.489,74.51
01243,196,18.631,10.52
95121,35722,4.429,8065.48
50540,1253,106.017,11.82
57358,13,0.946,13.74
29014,1229,164.589,7.47
44844,823,17.619,46.71
04364,6153,30.489,201.81
70669,9183,30.535,300.74
21540,93,0.27,344.44
33708,15306,3.415,4481.99
61072,11342,52.518,215.96
71801,14907,301.732,49.4
39747,1415,151.146,9.36
53002,2611,31.769,82.19
80264,0,0.007,0
95837,263,18.04,14.58
28366,4221,84.709,49.83
07111,60334,2.916,20690.67
95448,15868,188.183,84.32
20905,18268,12.85,1421.63
38962,39,15.463,2.52
62914,1785,19.648,90.85
98506,18763,22.379,838.42
83122,962,12.93,74.4
33777,18276,5.717,3196.78
54490,994,112.63,8.83
38079,4450,105.87,42.03
34250,416,,
66439,2585,87.491,29.55
85209,42171,11.087,3803.64
08831,54608,50.327,1085.06
10110,0,0.01,0
60641,67400,4.042,16674.91
06880,27364,20.122,1359.9
23502,19836,9.946,1994.37
36206,10723,15.999,670.23
11572,30627,4.76,6434.24
70358,644,6.409,100.48
51040,3388,152.225,22.26
47616,214,42.779,5
73547,1775,122.173,14.53
53534,12344,81.304,151.83
71846,2900,216.091,13.42
28669,2828,46.322,61.05
51103,17145,10.545,1625.89
97907,775,317.053,2.44
24070,1481,57.716,25.66
24927,517,40.07,12.9
16745,685,11.16,61.38
56289,597,48.945,12.2
57269,257,100.961,2.55
92325,9689,10.148,954.77
17030,514,4.067,126.38
75224,35452,5.842,6068.47
39459,4097,64.375,63.64
52046,2628,46.017,57.11
50235,438,46.618,9.4
70463,74,0.707,104.67
97107,2158,14.013,154
45850,3763,59.963,62.76
11201,69251,1.407,49218.91
78599,35400,,
49253,2923,24.541,119.11
36548,1169,34.601,33.79
38542,0,3.09,0
00979,15597,1.563,9978.89
47859,1078,41.344,26.07
45252,4941,11.392,433.73
73757,113,34.65,3.26
03086,4183,26.965,155.13
68528,6955,19.241,361.47
51636,497,55.767,8.91
97388,954,2.729,349.58
17723,53,13.24,4
33647,74919,33.934,2207.79
04363,2666,34.646,76.95
23840,1593,47.746,33.36
32681,301,0.368,817.93
01360,2875,34.263,83.91
15544,382,0.582,656.36
21849,3845,34.755,110.63
36793,743,75.726,9.81
39744,5308,252.408,21.03
62889,1053,30.3,34.75
71110,2828,33.406,84.66
10006,4475,0.093,48118.28
94703,20874,1.336,15624.25
81071,299,568.964,0.53
48886,1529,29.801,51.31
20906,71216,12.077,5896.83
02176,29488,4.682,6298.16
72142,2101,104.056,20.19
14871,4497,57.17,78.66
31623,533,0.889,599.55
45506,13339,12.372,1078.16
74051,1923,33.636,57.17
19041,6088,3.302,1843.73
79044,644,195.719,3.29
22535,602,9.5,63.37
79912,79126,23.685,3340.76
74577,252,7.549,33.38
59024,295,501.232,0.59
41139,8258,6.088,1356.44
63347,2627,37.74,69.61
79556,12593,304.245,41.39
33936,27287,19.721,1383.65
24251,7976,118.484,67.32
48912,17398,4.802,3623.07
13090,29180,15.063,1937.2
38751,10255,152.735,67.14
65738,21117,51.628,409.02
73544,172,128.948,1.33
59528,232,152.012,1.53
41812,185,6.076,30.45
71414,203,0.611,332.24
82936,29,129.9,0.22
24924,682,23.819,28.63
56271,1309,149.624,8.75
42776,2071,67.598,30.64
57265,255,79.534,3.21
65275,2491,176.461,14.12
78802,0,12.122,0
99148,2381,57.806,41.19
75227,57087,11.397,5008.95
60449,9607,48.597,197.69
62522,14984,25.343,591.25
24269,263,7.662,34.33
35603,31875,70.567,451.7
59345,38,,
49802,6014,7.924,758.96
45767,2566,113.809,22.55
53565,4672,182.869,25.55
47854,884,28.654,30.85
71468,451,176.665,2.55
78717,36085,12.844,2809.48
54427,1199,44.892,26.71
68014,313,38.402,8.15
63867,855,89.759,9.53
61085,2946,129.265,22.79
54858,1578,19.287,81.82
03570,9473,105.338,89.93
94066,42875,6.132,6992.01
84633,833,42.417,19.64
03771,807,22.055,36.59
58405,694,0.046,15086.96
35621,3292,45.848,71.8
83552,849,86.355,9.83
11010,25618,2.376,10781.99
50312,15492,5.67,2732.28
62884,2764,31.312,88.27
98367,32203,80.561,399.73
45739,54,,
10005,9238,0.073,126547.95
69131,805,190.256,4.23
95697,264,0.232,1137.93
39323,1099,52.962,20.75
33813,38112,15.425,2470.79
92307,40666,170.1,239.07
72141,543,83.661,6.49
68339,993,43.281,22.94
17749,218,0.107,2037.38
57330,548,127.946,4.28
79056,99,40.938,2.42
84719,49,60.425,0.81
26705,680,56.19,12.1
65767,1860,86.219,21.57
15924,867,26.609,32.58
11249,45353,,
57793,2042,147.768,13.82
97827,2557,205.829,12.42
17221,496,10.312,48.1
45052,4236,13.109,323.14
37829,1939,55.964,34.65
10020,0,0.028,0
94506,27261,18.735,1455.08
74574,1084,145.725,7.44
59029,799,101.283,7.89
31320,10431,117.162,89.03
75446,3653,176.291,20.72
11569,996,0.389,2560.41
48911,40407,15.904,2540.68
01343,190,4.867,39.04
70343,5271,28.93,182.2
25180,221,3.383,65.33
65735,157,20.741,7.57
72346,399,82.039,4.86
17555,6694,34.958,191.49
71419,1865,141.069,13.22
75792,3934,94.27,41.73
39567,10300,13.298,774.55
65244,312,66.961,4.66
04050,300,1.436,208.91
73142,16364,9.78,1673.21
30241,24890,111.391,223.45
71325,1132,85.054,13.31
04627,1883,21.46,87.74
20020,53885,4.616,11673.53
75246,2487,0.452,5502.21
47670,11638,79.685,146.05
30751,169,0.568,297.54
49801,11606,150.743,76.99
50530,1119,64.675,17.3
60005,29022,6.559,4424.76
47857,321,0.511,628.18
71467,8087,179.136,45.14
54413,210,31.364,6.7
19457,62,0.197,314.72
04773,575,39.009,14.74
61088,5992,55.044,108.86
54857,36,0.282,127.66
76525,1210,192.111,6.3
40291,41506,21.909,1894.47
56684,304,99.986,3.04
72084,1132,197.855,5.72
97738,2187,73.192,29.88
81130,786,946.149,0.83
02668,2514,15.187,165.54
73760,352,59.513,5.91
62892,189,22.381,8.44
51572,379,44.088,8.6
98684,36486,6.972,5233.22
06793,1270,14.147,89.77
44703,8468,1.096,7726.28
73488,21,,
05651,1499,17.107,87.62
08251,10360,6.317,1640.02
23934,433,35.955,12.04
54950,2756,83.2,33.12
98121,20904,0.443,47187.36
55113,40786,14.935,2730.9
58353,119,87.347,1.36
55021,30860,180.842,170.65
60639,84505,4.878,17323.7
70462,5428,80.147,67.73
07017,40809,2.252,18121.23
39897,3308,141.847,23.32
12435,181,9.957,18.18
56283,6469,177.107,36.53
95224,265,11.365,23.32
03087,15922,26.744,595.35
26667,48,,
97914,19879,255.876,77.69
63940,1501,55.144,27.22
68508,17444,2.951,5911.22
77660,1141,55.591,20.52
41034,1061,27.976,37.93
15636,3839,2.965,1294.77
55314,1148,74.453,15.42
70051,1913,8.913,214.63
26138,87,5.325,16.34
61878,1179,27.782,42.44
75791,15320,38.534,397.57
63933,3099,101.369,30.57
93001,31885,205.155,155.42
83670,848,73.843,11.48
76436,87,45.21,1.92
33313,64228,6.432,9985.7
93727,83630,32.377,2583.01
87735,0,34.496,0
45769,5560,104.945,52.98
32643,11495,117.18,98.1
71473,478,130.398,3.67
16343,616,4.754,129.58
19454,28141,13.05,2156.4
65770,2593,99.86,25.97
78152,3958,36.637,108.03
76531,4673,381.441,12.25
65741,0,,
79241,2088,341.277,6.12
47330,5346,59.453,89.92
93465,10248,88.026,116.42
78231,9966,3.864,2579.19
12992,4129,63.567,64.96
72183,838,,
50160,588,0.375,1568
11713,9236,4.978,1855.36
45654,715,56.114,12.74
25922,71,4.6,15.43
10282,5960,0.069,86376.81
61774,764,43.109,17.72
36830,48172,99.648,483.42
05652,778,31.181,24.95
68337,401,69.195,5.8
62320,2431,87.069,27.92
74058,3558,257.588,13.81
35646,4005,93.667,42.76
76031,18697,72.507,257.86
60634,74418,7.113,10462.25
51360,8561,111.538,76.75
45054,2549,30.862,82.59
59625,156,,
12421,238,19.607,12.14
45208,17858,4.24,4211.79
40056,3361,2.846,1180.96
54120,179,97.705,1.83
12865,3353,72.349,46.34
98380,5187,41.918,123.74
34450,10408,25.791,403.55
64780,361,97.737,3.69
14211,23951,4.05,5913.83
77470,381,28.564,13.34
73106,13019,3.134,4154.12
08028,24806,15.332,1617.92
18349,215,1.403,153.24
71853,225,31.815,7.07
55317,22373,12.553,1782.28
49434,96,0.057,1684.21
32130,5672,92.374,61.4
85371,280,177.267,1.58
56748,664,86.678,7.66
46530,31907,24.882,1282.33
16680,348,6.755,51.52
74447,15500,229.839,67.44
13121,0,,
58627,211,273.126,0.77
96141,621,11.993,51.78
10607,6222,2.214,2810.3
40067,6253,43.138,144.95
18055,11947,21.435,557.36
87736,71,25.79,2.75
72701,48964,126.572,386.85
15711,357,1.249,285.83
55345,21255,11.356,1871.7
92064,48555,40.94,1186
56714,1115,207.548,5.37
27214,14929,48.113,310.29
11782,14537,5.556,2616.45
88336,399,123.98,3.22
94507,14546,12.694,1145.9
10579,8825,32.737,269.57
45113,3808,37.739,100.9
87522,2937,156.183,18.8
47836,0,0.197,0
93463,8099,30.197,268.21
02666,751,12.717,59.05
94024,23673,7.315,3236.23
45657,1697,98.448,17.24
29657,16072,63.588,252.75
28433,4199,112.052,37.47
16423,3880,9.441,410.97
85927,168,127.765,1.31
68357,325,51.75,6.28
18326,3574,33.355,107.15
10542,0,,
33434,21805,6.706,3251.57
38488,1931,58.85,32.81
98075,25231,9.475,2662.9
90047,50925,4.731,10764.11
55933,207,26.312,7.87
35645,13756,86.285,159.43
60637,52418,4.529,11573.86
44062,16335,76.564,213.35
60051,23931,32.016,747.47
94127,20710,1.771,11693.96
95559,0,18.053,0
59760,205,59.751,3.43
15946,6630,50.5,131.29
11520,44873,5.016,8945.97
48620,127,,
16115,3451,40.212,85.82
68506,27909,7.191,3881.1
73105,5810,4.449,1305.91
15638,34,0.178,191.01
63457,562,34.476,16.3
70057,4475,38.487,116.27
48653,9638,251.595,38.31
93263,23423,90.593,258.55
38326,2566,53.241,48.2
35442,5539,235.563,23.51
84043,81839,31.15,2627.26
12726,1169,29.282,39.92
10960,15277,4.184,3651.29
50243,348,0.552,630.43
98107,28390,2.163,13125.29
95315,13006,18.253,712.54
53598,3834,3.448,1111.95
95699,86,4.061,21.18
74003,14128,121.981,115.82
83335,2288,101.709,22.5
83420,2611,454.572,5.74
76022,13790,2.67,5164.79
75076,7907,49.755,158.92
45003,666,10.565,63.04
55346,18602,6.886,2701.42
10962,4921,5.861,839.62
66406,406,54.535,7.44
16354,10120,123.876,81.69
56676,1812,204.129,8.88
61559,3726,98.179,37.95
18012,27,,
48843,46902,90.036,520.92
61081,20916,123.464,169.41
44842,5571,72.289,77.07
98662,38008,12.87,2953.22
58716,287,71.057,4.04
02663,446,1.413,315.64
40601,51627,220.605,234.02
24363,1012,75.507,13.4
90028,31441,1.524,20630.58
31705,30866,153.863,200.61
85933,3989,92.07,43.33
18325,2688,43.027,62.47
62912,1534,53.538,28.65
05658,1652,37.481,44.08
83641,3991,162.467,24.56
38485,6120,270.836,22.6
25840,7917,72.218,109.63
35651,1386,53.714,25.8
60623,77061,5.371,14347.61
49512,18662,22.618,825.1
45317,838,24.688,33.94
45206,10387,2.01,5167.66
70723,1115,26.256,42.47
98558,61,0.126,484.13
05836,1447,28.489,50.79
43214,26420,6.736,3922.21
68731,3691,36.431,101.31
78220,18497,9.281,1993
30521,6176,94.521,65.34
29817,4230,107.589,39.32
16116,2783,26.399,105.42
91362,36205,19.63,1844.37
73108,15239,7.524,2025.39
69360,1099,420.137,2.62
07470,54131,23.773,2276.99
73084,6296,16.899,372.57
45369,4232,44.099,95.97
38329,3258,108.327,30.08
32901,28565,12.56,2274.28
49965,482,207.038,2.33
14468,19119,53.044,360.44
19501,950,1.009,941.53
30510,8738,44.725,195.37
99504,41684,6.37,6543.8
76240,29271,369.492,79.22
45449,18627,6.645,2803.16
29845,1127,65.784,17.13
83336,5968,37.297,160.01
68865,1050,62.446,16.81
78385,52,204.822,0.25
25311,9613,28.261,340.15
75075,38041,9.856,3859.68
49255,2148,39.986,53.72
63430,422,52.343,8.06
38544,7413,82.905,89.42
42367,1023,1.055,969.67
63653,1418,1.446,980.64
43928,114,1.317,86.56
48857,3488,22.926,152.14
88338,254,100.813,2.52
94305,17912,5.176,3460.59
44841,590,19.035,31
82322,158,1.506,104.91
98303,1341,7.933,169.04
